class,fea1,fea2,fea3,fea4,fea5,fea6,fea7,fea8,fea9,fea10,fea11,fea12,fea13,fea14,fea15,fea16,fea17,fea18,fea19,fea20,fea21,fea22,fea23,fea24,fea25,fea26,27
1,0.00016212,0.00021615,0.00037827,0.00016212,0.00016212,5.404e-05,0.00032423,0.00032423,5.404e-05,0.00032423,0.00032423,0.00027019,0.00032423,0.00043231,0.00086462,0.00101915,0.00012794,0.45948932,0.03226939,0.004886,4.9e-07,0.0010113,1.737e-05,0.45936604,0.03228016,0.0048847000000000005,8.1e-07
1,5.368e-05,0.00048312,0.00026839999999999996,0.00021472,0.00021472,0.0,0.00048312,0.00016104,0.00037576,0.00010736,0.00042944,0.00042944,0.00026839999999999996,0.00042944,0.00032208,0.00099804,0.00012345,0.46043589,0.03057226,0.00485077,8.6e-07,0.00099623,7.249e-05,0.46103695,0.03144469,0.0048516,2.4e-07
1,0.00020358,0.0001425,0.00063109,0.00036644,0.00020358,0.0,0.00016286,0.00016286,4.072e-05,0.00018322,0.00016286,0.00046823,0.00026465,0.00022394,0.00065145,0.00095548,3.409e-05,0.46134620000000004,0.03048118,0.00481403,5.8e-07,0.00094889,3.956e-05,0.46131400000000006,0.03063251,0.00481273,-4.6e-07
1,0.00026633,0.00021306,0.00047939,0.00021306,0.0001598,0.00026633,0.0001598,0.00031959,5.327e-05,0.00031959,0.00053266,0.00042613,0.00031959,0.00042613,0.00031959,0.00107318,6.746e-05,0.45830335,0.032998900000000005,0.00490079,2.52e-06,0.00106793,0.00016448,0.45777439,0.03410928,0.00490174,1.85e-06
1,0.00021309999999999998,0.00026637,0.00015982,0.00015982,0.00042619,5.327e-05,0.00047947,0.00026637,0.00026637,0.00026637,0.00031964,0.00021309999999999998,0.00026637,0.00053274,0.00042619,0.00105628,0.00013463,0.45965144,0.03195997,0.00488741,1.19e-06,0.00105331,9.619e-05,0.45944823,0.03218564,0.00489048,4.1e-07
1,0.00033193,0.00044257,0.00011064,0.00022128,0.00033193,5.532e-05,0.00044257,0.00038725,0.00016596,0.00044257,0.00016596,0.00027661,0.00022128,0.00022128,0.00060853,0.00106754,0.00010346,0.45822994,0.03333923,0.00493374,7.1e-07,0.00106321,5.967e-05,0.45821908,0.03340414,0.00493276,-4.7e-07
1,0.00023288,0.00013973,0.00046575,0.00032603,0.00023288,0.00018630000000000003,0.00023288,0.00027945,0.00018630000000000003,0.00023288,0.00041918,0.00023288,0.00032603,0.0005589,0.00027945,0.00104279,0.00013075,0.45918874,0.03172536,0.00483122,2.6e-06,0.00104095,0.00013429,0.45927842,0.03318196,0.00483099,9.9e-07
1,0.00043538,0.00039184,0.00013061,0.00065307,0.00026123,0.0,0.00043538,0.00021769,0.0003483,0.00021769,0.0003483,8.708e-05,0.00030477,0.00052245,0.00013061,0.0010446,0.00018056,0.46054367,0.03061423,0.00482073,1.72e-06,0.00104166,0.00020808,0.46047233,0.03163471,0.00482122,1.46e-06
1,0.00014651,0.00043954,0.00024419,0.00034187,9.768e-05,4.884e-05,0.00034187,0.00014651,0.00034187,0.00014651,0.00053722,0.00034187,0.00019535,0.00053722,0.00048838,0.0009904,5.237e-05,0.46156918,0.02981111,0.00483188,1.48e-06,0.0009894,5.852e-05,0.46157836,0.03064246,0.00483409,1.12e-06
1,0.00034055,0.00022703,0.00028379,0.00045407,0.00017028,0.00017028,0.00022703,0.00028379,0.00022703,0.00022703,0.00039731,5.676e-05,0.00034055,0.00051083,0.00022703,0.00104225,8.826e-05,0.46037658,0.03101127,0.00486161,1.71e-06,0.00103503,0.00012235,0.46096511,0.03098084,0.00485938,1.4e-06
1,0.00021217,0.0003713,0.00021217,0.00021217,0.0003713,5.304e-05,0.00026521,0.00026521,0.00015913,0.00047738,0.00047738,0.0003713,0.00015913,0.00042434,0.0003713,0.00105821,7.759e-05,0.45912738,0.03253841,0.00486809,2.9e-07,0.00105641,6.911e-05,0.45858409999999994,0.03313436,0.00487149,-1e-07
1,0.00039491,0.00039491,0.00016925,0.00056416,0.00022566,0.00011283,0.00016925,0.00011283,0.00039491,0.0003385,0.00039491,0.00028208,0.0,0.00045133,0.00022566,0.00100891,0.00010120000000000001,0.46074559,0.03007174,0.00479402,2.33e-06,0.001007,5.106e-05,0.46135834,0.03144127,0.00479145,9.4e-07
1,0.00012803,0.00044811,0.00019205,0.00057614,6.402e-05,0.0,0.0003841,6.402e-05,0.00051213,0.00025606,0.00032008,0.00019205,0.00025606,0.00044811,0.00057614,0.00098143,6.368e-05,0.46116072,0.03060722,0.00478353,5.7e-07,0.0009801999999999999,3.793e-05,0.46077576,0.03121316,0.00478654,1.2e-07
1,0.00039867,0.00034884,9.967e-05,0.000299,0.0004485,0.0001495,0.00039867,0.00019934,9.967e-05,0.00054817,0.0004485,0.00034884,0.000299,0.00024917,0.00024917,0.00111851,0.00012216,0.45746427,0.03390332,0.00493399,1.83e-06,0.00111457,0.00012737,0.45689425,0.03475008,0.0049339,1.21e-06
1,0.00024437,0.00048874,0.00014662,0.00029324,0.00024437,0.0,0.00043986,0.00039099,0.00029324,0.00024437,0.00029324,0.00014662,0.00024437,0.00048874,0.00048874,0.00103904,8.965e-05,0.46003918,0.03166381,0.00488856,5.2e-07,0.00103238,8.083e-05,0.46008321,0.03155266,0.00488676,3.9e-07
1,0.00010513,0.00026283,0.00036796,0.00026283,0.00026283,5.257e-05,0.00031539,0.00031539,0.00021026,0.00057822,0.00031539,0.00015769999999999998,0.00031539,0.00052565,0.00026283,0.00106848,0.0001189,0.45705785,0.03459279,0.00483074,1.52e-06,0.00106455,0.00015549,0.45711397,0.03458995,0.00483193,6.4e-07
1,0.00039126,0.00033536,5.589e-05,0.00027947,0.00033536,0.0,0.00044715,0.00022358,0.00022358,0.00033536,0.00050305,0.00033536,0.00011179,0.00055894,0.00039126,0.00104113,0.00012096,0.46100056,0.03046024,0.00486414,7.8e-07,0.00104175,0.00010516,0.46048915,0.03137272,0.00486304,1.17e-06
1,0.00018680000000000001,0.00031133,0.00037360000000000003,0.00043587,0.00012453,0.0,0.00024907,0.00018680000000000001,0.00018680000000000001,0.00031133,0.00043587,0.00031133,0.00031133,0.00049813,0.00043587,0.00100484,0.00016159,0.46002767,0.03130116,0.00480652,1.18e-06,0.00100405,0.00010035,0.46036289999999996,0.03180988,0.00481128,8.6e-07
1,0.00026539,0.00026539,0.00031846,0.00047769,0.00042462,0.00010615,0.00026539,0.00015923,0.00037154,0.00042462,0.00031846,0.00021231,0.00021231,0.00047769,0.00015923,0.00106439,0.00011959,0.45846549999999997,0.03264507,0.00478747,1.66e-06,0.00105969,0.00014194,0.45856542,0.03379822,0.00478563,8.1e-07
1,0.00013299,0.00013299,0.00033247,0.00019948,0.00026598,0.00019948,0.00039897,0.00019948,0.00013299,0.00019948,0.00046546,0.00026598,0.00053196,0.00046546,0.00039897,0.00106527,0.00011394,0.45907608,0.03215334,0.00491723,1.94e-06,0.00106047,9.891e-05,0.45924225,0.03270024,0.00491582,-1.4e-07
1,0.00016379,0.00049138,0.00032759,0.00043679,0.00016379,5.4600000000000006e-05,0.00010920000000000001,0.00021839,0.00032759,5.4600000000000006e-05,0.00054598,0.00027299,0.00010920000000000001,0.00054598,0.00049138,0.00097933,0.00010177,0.4627089,0.02908479,0.00480794,1.54e-06,0.0009777000000000002,0.00011088,0.46239598,0.02937773,0.00481081,1.81e-06
1,0.00028469,0.00022775,0.00022775,0.00034163,0.00011388,5.694e-05,0.00034163,0.00017082,0.00028469,0.00039857,0.00051245,0.00022775,0.00022775,0.00062632,0.00034163,0.00102527,0.00012954,0.46001391,0.03156665,0.00481096,1.38e-06,0.00101786,7.438e-05,0.46000471,0.03193727,0.0048054,6.6e-07
1,0.00018038,0.00012025,0.0002405,0.0002405,0.00018038,0.00012025,0.00036075,0.00012025,0.0002405,0.00042088,0.00054113,0.00018038,0.0002405,0.0007215,0.00066138,0.00103286,6.256e-05,0.45963203,0.03175538,0.0048221,6.5e-07,0.00103058,7.963e-05,0.45977279,0.03235545,0.00482555,7.7e-07
1,0.00025561,0.00025561,0.00035786,0.00040898,0.0,0.0,0.00046011,0.00015337,0.00030674,0.00030674,0.00025561,0.00035786,0.00030674,0.00046011,0.00025561,0.00099097,0.00010882,0.46008071,0.03166231,0.00480644,8.5e-07,0.0009892000000000002,0.00012276,0.46022681,0.03160007,0.00480867,1.31e-06
1,0.00023008,0.00034512,0.00011504,0.00028760000000000005,0.00011504,0.00017256,0.00046016,0.00028760000000000005,0.00028760000000000005,0.00034512,0.00034512,0.00011504,0.00046016,0.00040264,0.00063272,0.0010708,0.0001216,0.45851142,0.03297993,0.004924800000000001,1.05e-06,0.00106812,0.00011306,0.45867132,0.03295366,0.00492425,8.6e-07
1,0.00023533,0.00029417,0.00029417,0.00023533,0.00035299999999999996,0.00017649999999999998,0.00029417,0.00011767,0.00017649999999999998,0.00017649999999999998,0.00058833,0.00047067,0.00023533,0.00047067,0.00029417,0.00104291,7.269999999999999e-05,0.45980882,0.0307238,0.00488039,1.64e-06,0.00104043,8.740000000000001e-05,0.46056512,0.03225109,0.00487801,-1.4e-07
1,0.00043772,0.00049243,0.00016414,0.00032829,0.00021886,5.471e-05,0.000383,0.00032829,0.00021886,0.00021886,0.000383,0.00043772,5.471e-05,0.00043772,0.00021886,0.00103101,0.00012983,0.46034111,0.030847700000000002,0.00488587,1.08e-06,0.00102494,7.553e-05,0.46076036,0.03136785,0.0048832,7.6e-07
1,0.00084014,0.0,0.00064246,0.0009884,0.0,4.942e-05,0.0,4.942e-05,0.00014826,0.0,0.00054362,0.00044478,0.0,0.00069188,9.884e-05,0.00094357,0.00022810000000000001,0.46377266,0.02593268,0.00466468,6.08e-06,0.00094438,0.00026026,0.46390431,0.03007603,0.00466549,5.7000000000000005e-06
1,0.00033084,0.00026467,0.00033084,0.00039701,6.617e-05,0.00019851,0.00026467,0.00019851,0.00033084,0.00019851,0.00046318,0.00033084,0.00019851,0.00052935,0.00039701,0.00101949,9.056e-05,0.46034141,0.03069211,0.00482807,3.18e-06,0.00101965,0.00014863,0.46059936,0.03179199,0.00483105,2.7000000000000004e-06
1,0.00025288,0.0003161,0.00044255,0.00037933,0.0,0.00012644,0.00037933,0.00050577,0.00025288,0.00018966,0.0003161,0.00012644,0.00037933,0.00063221,0.00025288,0.00105208,0.00022979,0.45890402,0.03282677,0.00485849,9.8e-07,0.00105203,0.00022094,0.45856177,0.03281688,0.00485923,1.89e-06
1,0.00020803,0.00031204,0.00036405,0.00036405,0.00020803,0.00010401,0.00036405,0.00031204,0.00010401,0.00031204,0.00031204,0.00026004,0.00052007,0.00031204,0.00036405,0.00106537,0.00015722,0.45812881,0.03321518,0.00490138,9.7e-07,0.00106057,7.411e-05,0.45817016,0.03369305,0.00490353,1.02e-06
1,0.00016701,0.00033401,0.00044535,0.00044535,0.00027834,5.567e-05,0.00033401,0.00033401,0.00033401,0.00027834,0.00016701,0.00022268,0.00033401,0.00044535,0.00027834,0.00104725,0.00013965,0.45812497,0.03337762,0.004807100000000001,-3.7e-07,0.00104358,0.00015081,0.45852778,0.03340723,0.00480895,5.8e-07
1,0.00029897,0.00039863,0.00014949,0.00024914,0.00024914,0.0,0.00039863,0.00024914,0.00014949,0.0003488,0.00049829,0.0003488,0.00019932,0.00049829,0.00044846,0.00103863,9.041e-05,0.4597813,0.0313296,0.00487565,2e-07,0.00103454,0.00010633,0.45988913,0.03234364,0.00487522,1.27e-06
1,0.00011714,0.00035141,0.00035141,0.00029284,0.00023427,0.00011714,0.00035141,0.00029284,0.00023427,0.00023427,0.00029284,0.00023427,0.00040998,0.00040998,0.00052711,0.00104612,0.00012190000000000001,0.4587715,0.03279024,0.00487769,7.1e-07,0.00103804,2.62e-05,0.45887688,0.03294911,0.00487384,8.9e-07
1,0.00011666,0.00052499,0.000175,0.00029166,0.0,0.0,0.00040832,0.000175,0.00023333,0.00023333,0.00040832,0.00034999,0.00029166,0.00034999,0.00064165,0.00098484,7.85e-05,0.4604235,0.03084096,0.00489128,-5.4e-07,0.00098149,-3.29e-06,0.46120512,0.03104389,0.00488783,-1.5e-07
1,0.00024243,0.00012121,0.00036364,0.00042425,0.00036364,6.061e-05,0.00024243,0.00030303,0.00024243,0.00072728,0.00012121,0.0,0.00024243,0.00048486,0.00042425,0.00107829,0.00012734,0.4566095,0.03558464,0.004778899999999999,1.1e-07,0.00107066,8.437e-05,0.45643843,0.03490042,0.00478072,1.09e-06
1,0.00026430000000000003,0.00015858,0.00037002,0.00042288,0.00031716,5.286e-05,0.00021144,0.00021144,0.00021144,0.00037002,0.00037002,0.00015858,0.00015858,0.00058146,0.00047574,0.00102094,0.00014096,0.4598968,0.03144558,0.00478303,1.18e-06,0.00101044,9.068e-05,0.46070854,0.03152082,0.004780899999999999,1.33e-06
1,0.00023473,0.00023473,0.00023473,0.00037556,0.00018778,0.0,0.00037556,0.00018778,0.00032862,0.00037556,0.00037556,0.00018778,0.00018778,0.00061029,0.00046945,0.00101051,8.561e-05,0.46019438,0.03135922,0.00478959,3.5e-07,0.0010056000000000002,6.474e-05,0.46015264,0.0319508,0.004786600000000001,-6.5e-07
1,0.00015808,0.00042156,0.00031617,0.00026347,0.00010539,0.00010539,0.00031617,0.00015808,0.00036886,0.00010539,0.00042156,0.00047425,0.00021078,0.00036886,0.00036886,0.00098667,5.517e-05,0.46131419,0.03012582,0.00485146,1.64e-06,0.00098222,6.476e-05,0.46132944,0.03080357,0.00484671,1.23e-06
1,0.00018582,0.00027872,0.00032518,9.291e-05,0.0,0.00027872,0.00037163,0.00032518,0.00023227,0.00041809,0.00041809,0.00041809,0.00032518,0.00037163,0.00046454,0.00106776,4.054e-05,0.45744896,0.03373262,0.00493041,2.18e-06,0.00106643,8.442e-05,0.45758044,0.03446975,0.00493022,8.7e-07
1,0.00029217,0.00040904,0.0001753,0.00046748,0.0001753,5.843e-05,0.00052591,5.843e-05,0.00046748,0.00011687,0.00040904,0.00035061,0.00029217,0.00052591,0.0001753,0.0010155,0.00013086,0.46055132,0.0301684,0.00482173,1.73e-06,0.00101373,0.00012338,0.46143055,0.03130697,0.00481864,8.4e-07
1,0.00017422,0.00011615,0.00034844,0.00034844,0.00011615,0.00011615,0.00040652,0.00017422,0.00040652,0.00029037,0.00046459,0.00017422,0.00029037,0.00081303,0.00023229,0.00102811,0.00017751,0.45952902,0.03135928,0.00477658,2.56e-06,0.00102597,0.00011517,0.46019412,0.03242743,0.00477483,1.59e-06
1,0.00015543,0.00039967,0.00039967,0.00033306,0.00011102,0.00015543,0.00024424,0.00035526,0.00022204,0.00017763,0.00035526,0.00026645,0.00035526,0.00037747,0.00044408,0.0010342,0.00010232,0.45945774,0.03179945,0.00488543,1.33e-06,0.00103145,9.918e-05,0.45954983,0.0325125,0.0048856,3.6e-07
1,0.00023039,0.00040319,0.00011520000000000001,0.00023039,0.00051838,0.00011520000000000001,0.00046078,0.00017279,0.00040319,0.00034559,0.00034559,0.00028799,0.00017279,0.00046078,0.00017279,0.00108107,7.693e-05,0.45834601,0.03260951,0.00486809,1.13e-06,0.00107857,7.886e-05,0.45916543,0.03321615,0.00487017,2.3e-07
1,0.00022053,0.00033079,5.513e-05,0.00011026,0.0001654,0.0001654,0.00055132,0.00022053,0.00049619,0.00033079,0.00049619,0.00027566,5.513e-05,0.00077185,0.00027566,0.00104656,8.537e-05,0.45952251,0.03179625,0.004847,9.5e-07,0.00104677,9.635e-05,0.46000399,0.03207208,0.00484949,1.58e-06
1,0.00042117,0.000361,0.0001805,0.00030083,6.017e-05,0.0,0.00066183,0.000361,0.0001805,0.000361,0.0001805,0.00030083,0.000361,0.000361,0.00012033,0.00104702,0.00015447,0.45815645,0.03279495,0.00490779,5.1e-07,0.00104538,0.00013726,0.45887258,0.03334477,0.00490606,-6e-08
1,0.00035813,0.00020464,0.00040929,0.00035813,0.00010232,5.116e-05,0.00025581,0.00020464,0.00020464,0.00025581,0.00056277,0.00040929,0.00010232,0.00071625,0.00010232,0.00100218,0.00016468,0.46097209999999994,0.02998489,0.0047838,2.23e-06,0.00100171,0.00019485,0.46092572,0.03157371,0.00478673,2.8999999999999998e-06
1,0.00011031,0.00049641,5.516e-05,0.00027578,0.00044125,5.516e-05,0.00049641,0.00022063,0.00055157,0.00011031,0.00033094,0.00016547,0.00022063,0.00049641,0.00033094,0.00103395,6.927e-05,0.46167657,0.03051651,0.00486582,-1.9e-07,0.00103497,7.102e-05,0.46059431,0.03063643,0.00486705,1.12e-06
1,0.00032962,0.00018835,0.00037671,0.00028253,0.00028253,0.00018835,0.00028253,0.00023544,0.00014126,0.00014126,0.00032962,0.00032962,0.00032962,0.00032962,0.00042379,0.00103342,4.8899999999999996e-05,0.46076009,0.03106603,0.00489836,8.4e-07,0.0010238,7.084e-05,0.46085327,0.03068589,0.00489527,1.55e-06
1,0.00011944,0.00029861,0.00047777,0.00017916,0.00011944,0.00011944,0.00011944,0.00023889,0.0,0.00023889,0.00047777,0.00047777,0.00035833,0.00023889,0.00077638,0.00100189,0.00010109,0.46041824,0.03104372,0.00490011,1.69e-06,0.00099747,2.9600000000000005e-05,0.46007126,0.03187609,0.00489965,9.2e-07
1,0.00012917,0.00032292,0.00038751,0.00032292,6.458e-05,0.0,0.00032292,0.00019375,0.00012917,0.00025834,0.00032292,0.00025834,0.00038751,0.00032292,0.00090419,0.0009878,8.305e-05,0.46024826,0.0311529,0.00486706,4.8e-07,0.00098839,-3.3e-07,0.46060539,0.03154852,0.00486964,-1.25e-06
1,0.00019945,0.00046539,0.00013297,0.00033242,6.648e-05,0.00013297,0.00039891,0.00039891,0.00046539,0.00019945,0.00033242,6.648e-05,0.00026594,0.00053188,0.00033242,0.00103971,0.00012141,0.45948538,0.03176374,0.00488349,9.2e-07,0.00103358,0.00010629,0.46073308,0.03129041,0.00488691,1.16e-06
1,0.00019162,6.387e-05,0.00025550000000000003,0.00012775,0.00025550000000000003,6.387e-05,0.00038324,0.00019162,0.00019162,0.00051099,0.00057487,0.00025550000000000003,0.00019162,0.00083036,0.00031937,0.00104806,0.00011394,0.45891396,0.03259877,0.00480408,1.55e-06,0.00104263,0.00010242,0.45888685,0.03308424,0.0048051000000000005,-5.2e-07
1,0.00022631,0.00033946,0.00028288,0.00039604,0.00016973,5.658e-05,0.00050919,0.00016973,0.00050919,0.00028288,0.00016973,0.00028288,0.00016973,0.00050919,0.00039604,0.0010105000000000001,7.894e-05,0.45956492,0.03183524,0.00478677,5.4e-07,0.00100839,7.889e-05,0.45966832,0.0325999,0.00478487,2e-08
1,0.00027077,0.00016246,0.00032493,0.00032493,0.00032493,5.415e-05,0.00032493,0.00021662,0.00021662,0.00043324,0.00016246,0.00027077,0.00016246,0.00037908,0.00054155,0.0010232000000000002,9.173e-05,0.45882872,0.03259602,0.0048228,1.01e-06,0.00101552,2.49e-05,0.45918240000000005,0.03298875,0.00482156,2.5e-07
1,0.00029341,0.00039122,0.00029341,0.00044012,0.00029341,9.779999999999999e-05,0.00024451,0.00048902,4.8899999999999996e-05,0.00024451,0.00039122,9.779999999999999e-05,0.00044012,0.00039122,0.00029341,0.00108375,0.00016077,0.45864063,0.03268506,0.0049143,1.07e-06,0.00108007,0.00018738,0.45874171,0.0329419,0.00491663,1.01e-06
1,5.606e-05,0.0005045,0.00016817,0.00033633,0.00022422,5.606e-05,0.00039239,0.00033633,0.00033633,0.00044844,0.00044844,5.606e-05,0.00039239,0.00056055,5.606e-05,0.00108672,0.00014817,0.45708301,0.03405217,0.00486473,7.8e-07,0.00108812,0.00020179,0.4573554,0.03465478,0.0048667,1.1e-06
1,0.00025741,0.00015445,0.00036038,0.00015445,0.00015445,0.00015445,0.00025741,0.00025741,0.00015445,0.0003089,0.00061779,0.00036038,0.00020593,0.00066928,0.00025741,0.00103486,0.00013333,0.45990332,0.031005400000000002,0.00484955,1.32e-06,0.0010290999999999998,0.00011320000000000001,0.46059609,0.03184773,0.00484931,3.36e-06
1,0.00025952,0.00020761,0.00051903,0.00041522,5.19e-05,0.00015571,0.00025952,0.00015571,0.00036332,0.00010381,0.00031142,0.00036332,0.00020761,0.00046713,0.00041522,0.0009808,0.00011059999999999999,0.46119142,0.03004395,0.00479773,1.89e-06,0.00097811,5.559e-05,0.46146426,0.03095593,0.00480028,8e-08
1,0.00016273,0.00027122,0.00048819999999999994,0.00027122,0.00021698,0.00021698,0.00021698,0.00021698,0.00016273,0.00032547,0.00043396,0.00043396,0.00043396,0.00027122,0.00032547,0.00106331,0.00014063,0.45838479,0.03309039,0.00488458,1.65e-06,0.00105482,7.549e-05,0.45832454,0.03348618,0.00488161,1.21e-06
1,0.00022281,0.00027851,5.5700000000000005e-05,0.00027851,0.00044561,5.5700000000000005e-05,0.00044561,0.00022281,0.00016711,0.00022281,0.00038991,0.00011140000000000001,0.00033421,0.00044561,0.00066842,0.00105249,8.23e-05,0.4605722,0.03115003,0.00491802,9.6e-07,0.00104566,9.24e-06,0.46034025,0.03123342,0.00491665,-1.9e-07
1,0.00018006,0.00060019,0.0,0.00048016,0.00048016,0.00012004,0.00030010000000000003,0.00018006,0.00042014,0.00036012,0.00042014,0.00012004,0.00024008,0.00036012,0.00024008,0.00109043,0.00010514,0.45857406,0.03267811,0.00487081,1.81e-06,0.00108958,0.00010691,0.45908096,0.03290142,0.00487756,1.71e-06
1,0.00027186,0.00043498,0.00010875,0.00032624,0.00038061,0.0,0.0005981,0.00032624,0.00027186,0.00032624,0.00021749,0.00016312,0.00038061,0.00032624,0.00043498,0.00107429,0.00012203,0.45875047,0.03254416,0.00490714,6.4e-07,0.00107071,9.349e-05,0.45874271,0.03316568,0.00490707,-6e-08
1,9.293e-05,0.00023233,0.00060405,0.00023233,9.293e-05,0.0,0.00018586,0.00027879,9.293e-05,0.00023233,0.00041819,0.00041819,0.00023233,0.00055759,0.00046466,0.00097672,0.00014345,0.4606397,0.03096656,0.00480027,1.43e-06,0.00097145,0.00011187,0.46057031,0.03142096,0.00479688,2.9e-07
1,0.00028167,0.00039433,0.000338,0.00022533,0.000169,0.00011267,0.00028167,0.000338,0.00011267,0.00039433,0.00039433,0.00045067,0.00022533,0.00039433,0.00045067,0.00105373,0.00013693,0.45873988,0.0331086,0.00488703,4.8e-07,0.00105246,0.00010532,0.45744120000000005,0.03396713,0.00488786,6e-08
1,5.002e-05,5.002e-05,0.00010005,0.00010005,0.00075036,0.00065031,0.00020009999999999998,0.00010005,0.00055027,0.00075036,0.00040019,0.0,0.00030014,0.00040019,0.00020009999999999998,0.00121676,0.00010615,0.45323281,0.03752454,0.00491928,2.91e-06,0.00122003,7.957e-05,0.45388639,0.03828654,0.00491949,3.3e-06
